臺北業務組,臺北市松山區,0501010019,三軍總醫院松山分院附設民眾診療服務處,0.00%,1.51%,1.93%
臺北業務組,臺北市松山區,1101010021,基督復臨安息日會醫療財團法人臺安醫院,0.00%,1.51%,1.93%
臺北業務組,臺北市松山區,1501010010,博仁綜合醫院,0.00%,1.51%,1.93%
臺北業務組,臺北市大安區,0901020013,中山醫療社團法人中山醫院,0.00%,1.51%,1.93%
臺北業務組,臺北市大安區,1101020027,中心診所醫療財團法人中心綜合醫院,0.00%,1.51%,1.93%
臺北業務組,臺北市大安區,1101020036,宏恩醫療財團法人宏恩綜合醫院,0.00%,1.51%,1.93%
臺北業務組,臺北市大安區,1101020018,國泰醫療財團法人國泰綜合醫院,0.00%,1.51%,1.93%
臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.11%,1.51%,1.93%
臺北業務組,臺北市中山區,1101100011,財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院,1.53%,1.51%,1.93%
臺北業務組,臺北市內湖區,0501110514,三軍總醫院附設民眾診療服務處,0.00%,1.51%,1.93%
臺北業務組,臺北市內湖區,1301110511,中國醫藥大學附設醫院臺北分院,0.00%,1.51%,1.93%
臺北業務組,臺北市內湖區,1101110026,康寧醫療財團法人康寧醫院,0.00%,1.51%,1.93%
臺北業務組,臺北市士林區,1101150011,新光醫療財團法人新光吳火獅紀念醫院,3.94%,1.51%,1.93%
臺北業務組,臺北市北投區,0501160014,三軍總醫院北投分院附設民眾診療服務處,3.55%,1.51%,1.93%
臺北業務組,臺北市北投區,1101160017,振興醫療財團法人振興醫院,0.00%,1.51%,1.93%
臺北業務組,臺北市北投區,0701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,0.00%,1.51%,1.93%
臺北業務組,臺北市北投區,0601160016,臺北榮民總醫院,3.43%,1.51%,1.93%
臺北業務組,臺北市北投區,1101160026,醫療財團法人辜公亮基金會和信治癌中心醫院,0.00%,1.51%,1.93%
臺北業務組,臺北市信義區,1301170017,臺北醫學大學附設醫院,0.19%,1.51%,1.93%
臺北業務組,臺北市中正區,0401180014,國立臺灣大學醫學院附設醫院,8.66%,1.51%,1.93%
臺北業務組,臺北市萬華區,1501190031,西園醫院,0.21%,1.51%,1.93%
臺北業務組,臺北市文山區,1501201020,景美醫院,0.00%,1.51%,1.93%
臺北業務組,臺北市文山區,1301200010,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,0.28%,1.51%,1.93%
